capability_id,domain,declared_maturity,assessed_maturity,maturity_delta,alignment,runtime_verified,production_certified,reasons
IRR-006,irrigation,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-007,irrigation,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-008,irrigation,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-009,irrigation,2,3,1,evidence_above_declared,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-010,irrigation,2,1,-1,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-001,operations,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-002,operations,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-003,operations,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-004,operations,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-005,operations,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-006,operations,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-007,operations,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
OPS-008,operations,3,1,-2,declared_above_evidence,False,False,documentation_only
PA-001,precision,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
PA-002,precision,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
PA-003,precision,0,1,1,evidence_above_declared,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
PA-004,precision,2,1,-1,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
PA-005,precision,1,1,0,aligned,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-001,satellite,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-002,satellite,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-003,satellite,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-004,satellite,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-005,satellite,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-006,satellite,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-007,satellite,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-008,satellite,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SAT-009,satellite,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-001,security,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-002,security,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-003,security,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-004,security,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-005,security,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-006,security,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-007,security,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SEC-008,security,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SOIL-001,soil,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SOIL-002,soil,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SOIL-003,soil,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SOIL-004,soil,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
SOIL-005,soil,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-001,weather,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-002,weather,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-003,weather,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-004,weather,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-005,weather,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-006,weather,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-007,weather,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-008,weather,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-009,weather,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
WX-010,weather,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
